year,phase,date,home_team,home_city,home_altitude_meters,away_team,away_city,away_altitude_meters,altitude_difference,home_goals,away_goals,score_raw,stadium
2024,Fase de Grupos,3 de abril,Alianza Lima,Lima,101,Fluminense,Río de Janeiro,10,91,1,1,1:1,Lima
2024,Fase de Grupos,3 de abril,Colo-Colo,Santiago,553,Cerro Porteño,Asunción,77,476,1,0,1:0,Santiago
2024,Fase de Grupos,9 de abril,Fluminense,Río de Janeiro,10,Colo-Colo,Santiago,553,-543,2,1,2:1,Río de Janeiro
2024,Fase de Grupos,10 de abril,Cerro Porteño,Asunción,77,Alianza Lima,Lima,101,-24,1,0,1:0,Asunción
2024,Fase de Grupos,23 de abril,Colo-Colo,Santiago,553,Alianza Lima,Lima,101,452,0,0,0:0,Santiago
2024,Fase de Grupos,25 de abril,Cerro Porteño,Asunción,77,Fluminense,Río de Janeiro,10,67,0,0,0:0,Asunción
2024,Fase de Grupos,8 de mayo,Alianza Lima,Lima,101,Cerro Porteño,Asunción,77,24,1,1,1:1,Lima
2024,Fase de Grupos,9 de mayo,Colo-Colo,Santiago,553,Fluminense,Río de Janeiro,10,543,0,1,0:1,Santiago
2024,Fase de Grupos,15 de mayo,Alianza Lima,Lima,101,Colo-Colo,Santiago,553,-452,1,1,1:1,Lima
2024,Fase de Grupos,16 de mayo,Fluminense,Río de Janeiro,10,Cerro Porteño,Asunción,77,-67,2,1,2:1,Río de Janeiro
2024,Fase de Grupos,29 de mayo,Cerro Porteño,Asunción,77,Colo-Colo,Santiago,553,-476,1,1,1:1,Asunción
2024,Fase de Grupos,29 de mayo,Fluminense,Río de Janeiro,10,Alianza Lima,Lima,101,-91,3,2,3:2,Río de Janeiro
2024,Fase de Grupos,3 de abril,Alianza Lima,Lima,101,Fluminense,Río de Janeiro,10,91,1,1,1:1,Lima
2024,Fase de Grupos,3 de abril,Colo-Colo,Santiago,553,Cerro Porteño,Asunción,77,476,1,0,1:0,Santiago
2024,Fase de Grupos,9 de abril,Fluminense,Río de Janeiro,10,Colo-Colo,Santiago,553,-543,2,1,2:1,Río de Janeiro
2024,Fase de Grupos,10 de abril,Cerro Porteño,Asunción,77,Alianza Lima,Lima,101,-24,1,0,1:0,Asunción
2024,Fase de Grupos,23 de abril,Colo-Colo,Santiago,553,Alianza Lima,Lima,101,452,0,0,0:0,Santiago
2024,Fase de Grupos,25 de abril,Cerro Porteño,Asunción,77,Fluminense,Río de Janeiro,10,67,0,0,0:0,Asunción
