year,phase,date,home_team,home_city,home_altitude_meters,away_team,away_city,away_altitude_meters,altitude_difference,home_goals,away_goals,score_raw,stadium
2024,Fase de Grupos,Chile 2,Universidad Católica,Santiago,553,Coquimbo Unido,Coquimbo,15,538,0,2,0:2,5 de marzo
2024,Fase de Grupos,Colombia 1,Deportes Tolima,Ibagué,1285,Independiente Medellín,Medellín,1495,-210,0,0,0:0 (2:4 p.),5 de marzo
2024,Fase de Grupos,Ecuador 1,Deportivo Cuenca,Cuenca,2560,Delfín,Manta,12,2548,2,5,2:5,6 de marzo
2024,Fase de Grupos,Paraguay 1,Guaraní,Asunción,77,Sportivo Luqueño,Asunción,77,0,0,1,0:1,6 de marzo
2024,Fase de Grupos,Paraguay 2,Sportivo Ameliano,Asunción,77,Olimpia,Asunción,77,0,2,0,2:0,7 de marzo
2024,Fase de Grupos,Perú 2,Universidad César Vallejo,Trujillo,34,Sport Huancayo,Huancayo,3250,-3216,2,0,2:0,7 de marzo
2024,Fase de Grupos,Uruguay 1,Montevideo Wanderers,Montevideo,43,Danubio,Montevideo,43,0,0,1,0:1,6 de marzo
2024,Fase de Grupos,2 de abril,Universidad César Vallejo,Trujillo,34,Defensa y Justicia,Buenos Aires,25,9,0,1,0:1,Trujillo
2024,Fase de Grupos,4 de abril,Always Ready,El Alto,4150,Independiente Medellín,Medellín,1495,2655,2,0,2:0,El Alto
2024,Fase de Grupos,10 de abril,Defensa y Justicia,Buenos Aires,25,Always Ready,El Alto,4150,-4125,1,1,1:1,Gobernador Costa
2024,Fase de Grupos,10 de abril,Independiente Medellín,Medellín,1495,Universidad César Vallejo,Trujillo,34,1461,4,2,4:2,Medellín
2024,Fase de Grupos,25 de abril,Always Ready,El Alto,4150,Universidad César Vallejo,Trujillo,34,4116,2,0,2:0,El Alto
2024,Fase de Grupos,25 de abril,Independiente Medellín,Medellín,1495,Defensa y Justicia,Buenos Aires,25,1470,2,1,2:1,Medellín
2024,Fase de Grupos,7 de mayo,Universidad César Vallejo,Trujillo,34,Independiente Medellín,Medellín,1495,-1461,1,5,1:5,Trujillo
2024,Fase de Grupos,7 de mayo,Always Ready,El Alto,4150,Defensa y Justicia,Buenos Aires,25,4125,3,0,3:0,El Alto
2024,Fase de Grupos,14 de mayo,Defensa y Justicia,Buenos Aires,25,Independiente Medellín,Medellín,1495,-1470,1,1,1:1,Gobernador Costa
2024,Fase de Grupos,15 de mayo,Universidad César Vallejo,Trujillo,34,Always Ready,El Alto,4150,-4116,2,2,2:2,Trujillo
2024,Fase de Grupos,29 de mayo,Defensa y Justicia,Buenos Aires,25,Universidad César Vallejo,Trujillo,34,-9,0,1,0:1,Gobernador Costa
2024,Fase de Grupos,29 de mayo,Independiente Medellín,Medellín,1495,Always Ready,El Alto,4150,-2655,4,0,4:0,Medellín
2024,Fase de Grupos,2 de abril,Universidad César Vallejo,Trujillo,34,Defensa y Justicia,Buenos Aires,25,9,0,1,0:1,Trujillo
2024,Fase de Grupos,4 de abril,Always Ready,El Alto,4150,Independiente Medellín,Medellín,1495,2655,2,0,2:0,El Alto
2024,Fase de Grupos,10 de abril,Defensa y Justicia,Buenos Aires,25,Always Ready,El Alto,4150,-4125,1,1,1:1,Gobernador Costa
2024,Fase de Grupos,10 de abril,Independiente Medellín,Medellín,1495,Universidad César Vallejo,Trujillo,34,1461,4,2,4:2,Medellín
2024,Fase de Grupos,25 de abril,Always Ready,El Alto,4150,Universidad César Vallejo,Trujillo,34,4116,2,0,2:0,El Alto
2024,Fase de Grupos,25 de abril,Independiente Medellín,Medellín,1495,Defensa y Justicia,Buenos Aires,25,1470,2,1,2:1,Medellín
2024,Fase de Grupos,7 de mayo,Universidad César Vallejo,Trujillo,34,Independiente Medellín,Medellín,1495,-1461,1,5,1:5,Trujillo
2024,Fase de Grupos,7 de mayo,Always Ready,El Alto,4150,Defensa y Justicia,Buenos Aires,25,4125,3,0,3:0,El Alto
2024,Fase de Grupos,14 de mayo,Defensa y Justicia,Buenos Aires,25,Independiente Medellín,Medellín,1495,-1470,1,1,1:1,Gobernador Costa
2024,Fase de Grupos,15 de mayo,Universidad César Vallejo,Trujillo,34,Always Ready,El Alto,4150,-4116,2,2,2:2,Trujillo
2024,Fase de Grupos,29 de mayo,Defensa y Justicia,Buenos Aires,25,Universidad César Vallejo,Trujillo,34,-9,0,1,0:1,Gobernador Costa
2024,Fase de Grupos,29 de mayo,Independiente Medellín,Medellín,1495,Always Ready,El Alto,4150,-2655,4,0,4:0,Medellín
2024,Fase de Grupos,4 de abril,Universidad Católica,Santiago,553,Cruzeiro,Belo Horizonte,852,-299,0,0,0:0,Quito
2024,Fase de Grupos,10 de abril,Unión La Calera,La Calera,147,Universidad Católica,Santiago,553,-406,0,1,0:1,Valparaíso
2024,Fase de Grupos,23 de abril,Unión La Calera,La Calera,147,Cruzeiro,Belo Horizonte,852,-705,0,0,0:0,Concepción
2024,Fase de Grupos,9 de mayo,Universidad Católica,Santiago,553,Unión La Calera,La Calera,147,406,4,0,4:0,Quito
2024,Fase de Grupos,16 de mayo,Cruzeiro,Belo Horizonte,852,Unión La Calera,La Calera,147,705,1,0,1:0,Belo Horizonte
2024,Fase de Grupos,30 de mayo,Cruzeiro,Belo Horizonte,852,Universidad Católica,Santiago,553,299,1,0,1:0,Belo Horizonte
2024,Fase de Grupos,4 de abril,Universidad Católica,Santiago,553,Cruzeiro,Belo Horizonte,852,-299,0,0,0:0,Quito
2024,Fase de Grupos,10 de abril,Unión La Calera,La Calera,147,Universidad Católica,Santiago,553,-406,0,1,0:1,Valparaíso
2024,Fase de Grupos,23 de abril,Unión La Calera,La Calera,147,Cruzeiro,Belo Horizonte,852,-705,0,0,0:0,Concepción
2024,Fase de Grupos,9 de mayo,Universidad Católica,Santiago,553,Unión La Calera,La Calera,147,406,4,0,4:0,Quito
2024,Fase de Grupos,16 de mayo,Cruzeiro,Belo Horizonte,852,Unión La Calera,La Calera,147,705,1,0,1:0,Belo Horizonte
2024,Fase de Grupos,30 de mayo,Cruzeiro,Belo Horizonte,852,Universidad Católica,Santiago,553,299,1,0,1:0,Belo Horizonte
2024,Fase de Grupos,2 de abril,Belgrano,Córdoba,390,Internacional,Porto Alegre,10,380,0,0,0:0,Córdoba
2024,Fase de Grupos,11 de abril,Delfín,Manta,12,Belgrano,Córdoba,390,-378,1,1,1:1,Manta
2024,Fase de Grupos,25 de abril,Delfín,Manta,12,Internacional,Porto Alegre,10,2,1,2,1:2,Manta
2024,Fase de Grupos,9 de mayo,Belgrano,Córdoba,390,Delfín,Manta,12,378,1,1,1:1,Córdoba
2024,Fase de Grupos,28 de mayo,Internacional,Porto Alegre,10,Belgrano,Córdoba,390,-380,1,2,1:2,Barueri
2024,Fase de Grupos,8 de junio[nota. 2],Internacional,Porto Alegre,10,Delfín,Manta,12,-2,1,0,1:0,Caxias do Sul
2024,Fase de Grupos,2 de abril,Belgrano,Córdoba,390,Internacional,Porto Alegre,10,380,0,0,0:0,Córdoba
2024,Fase de Grupos,11 de abril,Delfín,Manta,12,Belgrano,Córdoba,390,-378,1,1,1:1,Manta
2024,Fase de Grupos,25 de abril,Delfín,Manta,12,Internacional,Porto Alegre,10,2,1,2,1:2,Manta
2024,Fase de Grupos,9 de mayo,Belgrano,Córdoba,390,Delfín,Manta,12,378,1,1,1:1,Córdoba
2024,Fase de Grupos,28 de mayo,Internacional,Porto Alegre,10,Belgrano,Córdoba,390,-380,1,2,1:2,Barueri
2024,Fase de Grupos,8 de junio[nota. 2],Internacional,Porto Alegre,10,Delfín,Manta,12,-2,1,0,1:0,Caxias do Sul
2024,Fase de Grupos,25 de abril,Fortaleza,Fortaleza,21,Boca Juniors,Buenos Aires,25,-4,4,2,4:2,Fortaleza
2024,Fase de Grupos,15 de mayo,Boca Juniors,Buenos Aires,25,Fortaleza,Fortaleza,21,4,1,1,1:1,Buenos Aires
2024,Fase de Grupos,25 de abril,Fortaleza,Fortaleza,21,Boca Juniors,Buenos Aires,25,-4,4,2,4:2,Fortaleza
2024,Fase de Grupos,15 de mayo,Boca Juniors,Buenos Aires,25,Fortaleza,Fortaleza,21,4,1,1,1:1,Buenos Aires
2024,Fase de Grupos,2 de abril,Sportivo Ameliano,Asunción,77,Atlético Paranaense,Curitiba,934,-857,1,4,1:4,Asunción
2024,Fase de Grupos,9 de abril,Danubio,Montevideo,43,Sportivo Ameliano,Asunción,77,-34,0,0,0:0,Montevideo
2024,Fase de Grupos,24 de abril,Danubio,Montevideo,43,Atlético Paranaense,Curitiba,934,-891,0,1,0:1,Montevideo
2024,Fase de Grupos,7 de mayo,Sportivo Ameliano,Asunción,77,Danubio,Montevideo,43,34,2,1,2:1,Asunción
2024,Fase de Grupos,15 de mayo,Atlético Paranaense,Curitiba,934,Danubio,Montevideo,43,891,1,2,1:2,Curitiba
2024,Fase de Grupos,30 de mayo,Atlético Paranaense,Curitiba,934,Sportivo Ameliano,Asunción,77,857,0,1,0:1,Curitiba
2024,Fase de Grupos,2 de abril,Sportivo Ameliano,Asunción,77,Atlético Paranaense,Curitiba,934,-857,1,4,1:4,Asunción
2024,Fase de Grupos,9 de abril,Danubio,Montevideo,43,Sportivo Ameliano,Asunción,77,-34,0,0,0:0,Montevideo
2024,Fase de Grupos,24 de abril,Danubio,Montevideo,43,Atlético Paranaense,Curitiba,934,-891,0,1,0:1,Montevideo
2024,Fase de Grupos,7 de mayo,Sportivo Ameliano,Asunción,77,Danubio,Montevideo,43,34,2,1,2:1,Asunción
2024,Fase de Grupos,15 de mayo,Atlético Paranaense,Curitiba,934,Danubio,Montevideo,43,891,1,2,1:2,Curitiba
2024,Fase de Grupos,30 de mayo,Atlético Paranaense,Curitiba,934,Sportivo Ameliano,Asunción,77,857,0,1,0:1,Curitiba
2024,Fase de Grupos,2 de abril,Nacional,Montevideo,43,Argentinos Juniors,Buenos Aires,25,18,2,3,2:3,Asunción
2024,Fase de Grupos,2 de abril,Racing,Montevideo,43,Corinthians,São Paulo,760,-717,1,1,1:1,Montevideo
2024,Fase de Grupos,9 de abril,Argentinos Juniors,Buenos Aires,25,Racing,Montevideo,43,-18,0,3,0:3,Buenos Aires
2024,Fase de Grupos,9 de abril,Corinthians,São Paulo,760,Nacional,Montevideo,43,717,4,0,4:0,São Paulo
2024,Fase de Grupos,23 de abril,Argentinos Juniors,Buenos Aires,25,Corinthians,São Paulo,760,-735,1,0,1:0,Buenos Aires
2024,Fase de Grupos,25 de abril,Nacional,Montevideo,43,Racing,Montevideo,43,0,2,2,2:2,Asunción
2024,Fase de Grupos,7 de mayo,Racing,Montevideo,43,Argentinos Juniors,Buenos Aires,25,18,2,1,2:1,Montevideo
2024,Fase de Grupos,7 de mayo,Nacional,Montevideo,43,Corinthians,São Paulo,760,-717,0,2,0:2,Asunción
2024,Fase de Grupos,14 de mayo,Racing,Montevideo,43,Nacional,Montevideo,43,0,2,1,2:1,Montevideo
2024,Fase de Grupos,14 de mayo,Corinthians,São Paulo,760,Argentinos Juniors,Buenos Aires,25,735,4,0,4:0,São Paulo
2024,Fase de Grupos,28 de mayo,Corinthians,São Paulo,760,Racing,Montevideo,43,717,3,0,3:0,São Paulo
2024,Fase de Grupos,28 de mayo,Argentinos Juniors,Buenos Aires,25,Nacional,Montevideo,43,-18,2,1,2:1,Buenos Aires
2024,Fase de Grupos,2 de abril,Nacional,Montevideo,43,Argentinos Juniors,Buenos Aires,25,18,2,3,2:3,Asunción
2024,Fase de Grupos,2 de abril,Racing,Montevideo,43,Corinthians,São Paulo,760,-717,1,1,1:1,Montevideo
2024,Fase de Grupos,9 de abril,Argentinos Juniors,Buenos Aires,25,Racing,Montevideo,43,-18,0,3,0:3,Buenos Aires
2024,Fase de Grupos,9 de abril,Corinthians,São Paulo,760,Nacional,Montevideo,43,717,4,0,4:0,São Paulo
2024,Fase de Grupos,23 de abril,Argentinos Juniors,Buenos Aires,25,Corinthians,São Paulo,760,-735,1,0,1:0,Buenos Aires
2024,Fase de Grupos,25 de abril,Nacional,Montevideo,43,Racing,Montevideo,43,0,2,2,2:2,Asunción
2024,Fase de Grupos,7 de mayo,Racing,Montevideo,43,Argentinos Juniors,Buenos Aires,25,18,2,1,2:1,Montevideo
2024,Fase de Grupos,7 de mayo,Nacional,Montevideo,43,Corinthians,São Paulo,760,-717,0,2,0:2,Asunción
2024,Fase de Grupos,14 de mayo,Racing,Montevideo,43,Nacional,Montevideo,43,0,2,1,2:1,Montevideo
2024,Fase de Grupos,14 de mayo,Corinthians,São Paulo,760,Argentinos Juniors,Buenos Aires,25,735,4,0,4:0,São Paulo
2024,Fase de Grupos,28 de mayo,Corinthians,São Paulo,760,Racing,Montevideo,43,717,3,0,3:0,São Paulo
2024,Fase de Grupos,28 de mayo,Argentinos Juniors,Buenos Aires,25,Nacional,Montevideo,43,-18,2,1,2:1,Buenos Aires
2024,Fase de Grupos,3 de abril,Cuiabá,Cuiabá,165,Lanús,Buenos Aires,25,140,1,1,1:1,Cuiabá
2024,Fase de Grupos,11 de abril,Metropolitanos,Caracas,900,Cuiabá,Cuiabá,165,735,0,2,0:2,Caracas
2024,Fase de Grupos,25 de abril,Metropolitanos,Caracas,900,Lanús,Buenos Aires,25,875,0,2,0:2,Caracas
2024,Fase de Grupos,8 de mayo,Cuiabá,Cuiabá,165,Metropolitanos,Caracas,900,-735,3,0,3:0,Cuiabá
2024,Fase de Grupos,15 de mayo,Lanús,Buenos Aires,25,Metropolitanos,Caracas,900,-875,5,0,5:0,Lanús
2024,Fase de Grupos,29 de mayo,Lanús,Buenos Aires,25,Cuiabá,Cuiabá,165,-140,0,1,0:1,Lanús
2024,Fase de Grupos,3 de abril,Cuiabá,Cuiabá,165,Lanús,Buenos Aires,25,140,1,1,1:1,Cuiabá
2024,Fase de Grupos,11 de abril,Metropolitanos,Caracas,900,Cuiabá,Cuiabá,165,735,0,2,0:2,Caracas
2024,Fase de Grupos,25 de abril,Metropolitanos,Caracas,900,Lanús,Buenos Aires,25,875,0,2,0:2,Caracas
2024,Fase de Grupos,8 de mayo,Cuiabá,Cuiabá,165,Metropolitanos,Caracas,900,-735,3,0,3:0,Cuiabá
2024,Fase de Grupos,15 de mayo,Lanús,Buenos Aires,25,Metropolitanos,Caracas,900,-875,5,0,5:0,Lanús
2024,Fase de Grupos,29 de mayo,Lanús,Buenos Aires,25,Cuiabá,Cuiabá,165,-140,0,1,0:1,Lanús
2024,Fase de Grupos,3 de abril,Bragantino,Bragança Paulista,852,Coquimbo Unido,Coquimbo,15,837,1,0,1:0,Bragança Paulista
2024,Fase de Grupos,4 de abril,Sportivo Luqueño,Asunción,77,Racing Club,Buenos Aires,25,52,0,2,0:2,Asunción
2024,Fase de Grupos,10 de abril,Racing Club,Buenos Aires,25,Bragantino,Bragança Paulista,852,-827,3,0,3:0,Avellaneda
2024,Fase de Grupos,11 de abril,Coquimbo Unido,Coquimbo,15,Sportivo Luqueño,Asunción,77,-62,1,0,1:0,Coquimbo
2024,Fase de Grupos,24 de abril,Coquimbo Unido,Coquimbo,15,Racing Club,Buenos Aires,25,-10,1,2,1:2,Coquimbo
2024,Fase de Grupos,24 de abril,Bragantino,Bragança Paulista,852,Sportivo Luqueño,Asunción,77,775,2,1,2:1,Bragança Paulista
2024,Fase de Grupos,8 de mayo,Sportivo Luqueño,Asunción,77,Coquimbo Unido,Coquimbo,15,62,0,0,0:0,Asunción
2024,Fase de Grupos,9 de mayo,Bragantino,Bragança Paulista,852,Racing Club,Buenos Aires,25,827,2,1,2:1,Bragança Paulista
2024,Fase de Grupos,16 de mayo,Racing Club,Buenos Aires,25,Coquimbo Unido,Coquimbo,15,10,3,0,3:0,Avellaneda
2024,Fase de Grupos,16 de mayo,Sportivo Luqueño,Asunción,77,Bragantino,Bragança Paulista,852,-775,2,3,2:3,Asunción
2024,Fase de Grupos,28 de mayo,Racing Club,Buenos Aires,25,Sportivo Luqueño,Asunción,77,-52,3,0,3:0,Lanús
2024,Fase de Grupos,28 de mayo,Coquimbo Unido,Coquimbo,15,Bragantino,Bragança Paulista,852,-837,1,1,1:1,Coquimbo
2024,Fase de Grupos,3 de abril,Bragantino,Bragança Paulista,852,Coquimbo Unido,Coquimbo,15,837,1,0,1:0,Bragança Paulista
2024,Fase de Grupos,4 de abril,Sportivo Luqueño,Asunción,77,Racing Club,Buenos Aires,25,52,0,2,0:2,Asunción
2024,Fase de Grupos,10 de abril,Racing Club,Buenos Aires,25,Bragantino,Bragança Paulista,852,-827,3,0,3:0,Avellaneda
2024,Fase de Grupos,11 de abril,Coquimbo Unido,Coquimbo,15,Sportivo Luqueño,Asunción,77,-62,1,0,1:0,Coquimbo
2024,Fase de Grupos,24 de abril,Coquimbo Unido,Coquimbo,15,Racing Club,Buenos Aires,25,-10,1,2,1:2,Coquimbo
2024,Fase de Grupos,24 de abril,Bragantino,Bragança Paulista,852,Sportivo Luqueño,Asunción,77,775,2,1,2:1,Bragança Paulista
2024,Fase de Grupos,8 de mayo,Sportivo Luqueño,Asunción,77,Coquimbo Unido,Coquimbo,15,62,0,0,0:0,Asunción
2024,Fase de Grupos,9 de mayo,Bragantino,Bragança Paulista,852,Racing Club,Buenos Aires,25,827,2,1,2:1,Bragança Paulista
2024,Fase de Grupos,16 de mayo,Racing Club,Buenos Aires,25,Coquimbo Unido,Coquimbo,15,10,3,0,3:0,Avellaneda
2024,Fase de Grupos,16 de mayo,Sportivo Luqueño,Asunción,77,Bragantino,Bragança Paulista,852,-775,2,3,2:3,Asunción
2024,Fase de Grupos,28 de mayo,Racing Club,Buenos Aires,25,Sportivo Luqueño,Asunción,77,-52,3,0,3:0,Lanús
2024,Fase de Grupos,28 de mayo,Coquimbo Unido,Coquimbo,15,Bragantino,Bragança Paulista,852,-837,1,1,1:1,Coquimbo
2024,Fase Final,"17 de julio, 19:30 (UTC-5)",Barcelona,Guayaquil,9,Bragantino,Bragança Paulista,852,-843,1,1,1:1 (1:1),Estadio Monumental
2024,Fase Final,"24 de julio, 21:30 (UTC-3)",Bragantino,Bragança Paulista,852,Barcelona,Guayaquil,9,843,3,2,"3:2
.mw-parser-output .sinnegrita,.mw-parser-output .sinnegrita b{font-weight:normal}
(1:2)",Estadio Nabi Abi Chedid
2024,Fase Final,"18 de julio, 20:30 (UTC-4)",Cerro Porteño,Asunción,77,Atlético Paranaense,Curitiba,934,-857,1,1,1:1 (1:0),Estadio General Pablo Rojas
2024,Fase Final,"25 de julio, 21:30 (UTC-3)",Atlético Paranaense,Curitiba,934,Cerro Porteño,Asunción,77,857,2,1,"2:1
(1:0)",Ligga Arena
2024,Fase Final,"18 de julio, 18:00 (UTC-4)",Palestino,Santiago,553,Cuiabá,Cuiabá,165,388,1,1,1:1 (1:0),Estadio Ester Roa Rebolledo
2024,Fase Final,"25 de julio, 19:00 (UTC-4)",Cuiabá,Cuiabá,165,Palestino,Santiago,553,-388,1,2,"1:2
(0:1)",Arena Pantanal
2024,Fase Final,"17 de julio, 18:00 (UTC-4)",Libertad,Asunción,77,Universidad Católica,Santiago,553,-476,2,0,2:0 (0:0),Estadio Defensores del Chaco
2024,Fase Final,"24 de julio, 17:00 (UTC-5)",Universidad Católica,Santiago,553,Libertad,Asunción,77,476,1,1,"1:1
(1:0)",Estadio Olímpico Atahualpa
2024,Fase Final,"17 de julio, 19:30 (UTC-5)",Independiente del Valle,Quito,2850,Boca Juniors,Buenos Aires,25,2825,0,0,0:0,Estadio Banco Guayaquil
2024,Fase Final,"24 de julio, 21:30 (UTC-3)",Boca Juniors,Buenos Aires,25,Independiente del Valle,Quito,2850,-2825,1,0,"1:0
(1:0)",Estadio La Bombonera
2024,Fase Final,"18 de julio, 19:30 (UTC-5)",Liga de Quito,Quito,2850,Always Ready,El Alto,4150,-1300,3,0,3:0 (2:0),Estadio Rodrigo Paz Delgado
2024,Fase Final,"25 de julio, 20:30 (UTC-4)",Always Ready,El Alto,4150,Liga de Quito,Quito,2850,1300,3,1,"3:1
(1:0)",Estadio Municipal
2024,Fase Final,"16 de julio, 21:30 (UTC-3)",Rosario Central,Rosario,31,Internacional,Porto Alegre,10,21,1,0,1:0 (0:0),Estadio Gigante de Arroyito
2024,Fase Final,"23 de julio, 21:30 (UTC-3)",Internacional,Porto Alegre,10,Rosario Central,Rosario,31,-21,1,1,"1:1
(0:1)",Estadio Beira-Rio
2024,Fase Final,"16 de julio, 18:00 (UTC-4)",Huachipato,Talcahuano,1,Racing,Montevideo,43,-42,2,3,2:3 (1:2),Estadio Ester Roa Rebolledo
2024,Fase Final,"23 de julio, 19:00 (UTC-3)",Racing,Montevideo,43,Huachipato,Talcahuano,1,42,0,1,"0:1
(0:1)
(0:3 p.)",Estadio Centenario
2024,Fase Final,"14 de agosto, 19:00 (UTC-3)",Rosario Central,Rosario,31,Fortaleza,Fortaleza,21,10,1,1,1:1 (1:1),Estadio Gigante de Arroyito
2024,Fase Final,"21 de agosto, 19:00 (UTC-3)",Fortaleza,Fortaleza,21,Rosario Central,Rosario,31,-10,3,1,3:1 (0:0),Arena Castelão
2024,Fase Final,"15 de agosto, 18:00 (UTC-4)",Libertad,Asunción,77,Sportivo Ameliano,Asunción,77,0,1,1,1:1 (0:1),Estadio Defensores del Chaco
2024,Fase Final,"22 de agosto, 18:00 (UTC-4)",Sportivo Ameliano,Asunción,77,Libertad,Asunción,77,0,0,0,"0:0
(3:4 p.)",Estadio Defensores del Chaco
2024,Fase Final,"14 de agosto, 19:30 (UTC-5)",Liga de Quito,Quito,2850,Lanús,Buenos Aires,25,2825,1,2,1:2 (1:2),Estadio Rodrigo Paz Delgado
2024,Fase Final,"21 de agosto, 21:30 (UTC-3)",Lanús,Buenos Aires,25,Liga de Quito,Quito,2850,-2825,3,1,3:1 (1:1),Estadio Néstor Díaz Pérez
2024,Fase Final,"13 de agosto, 18:00 (UTC-4)",Huachipato,Talcahuano,1,Racing Club,Buenos Aires,25,-24,0,2,0:2 (0:1),Estadio Sausalito
2024,Fase Final,"20 de agosto, 19:00 (UTC-3)",Racing Club,Buenos Aires,25,Huachipato,Talcahuano,1,24,6,1,6:1 (4:0),Estadio El Cilindro
2024,Fase Final,"15 de agosto, 19:00 (UTC-3)",Atlético Paranaense,Curitiba,934,Belgrano,Córdoba,390,544,2,1,2:1 (1:1),Ligga Arena
2024,Fase Final,"22 de agosto, 19:00 (UTC-3)",Belgrano,Córdoba,390,Atlético Paranaense,Curitiba,934,-544,0,2,0:2 (0:0),Estadio Mario Alberto Kempes
2024,Fase Final,"14 de agosto, 20:30 (UTC-4)",Palestino,Santiago,553,Independiente Medellín,Medellín,1495,-942,2,2,2:2 (0:1),Estadio Nacional
2024,Fase Final,"21 de agosto, 19:30 (UTC-5)",Independiente Medellín,Medellín,1495,Palestino,Santiago,553,942,4,0,4:0 (2:0),Estadio Hernán Ramírez Villegas
2024,Fase Final,"15 de agosto, 21:30 (UTC-3)",Boca Juniors,Buenos Aires,25,Cruzeiro,Belo Horizonte,852,-827,1,0,1:0 (0:0),Estadio La Bombonera
2024,Fase Final,"22 de agosto, 21:30 (UTC-3)",Cruzeiro,Belo Horizonte,852,Boca Juniors,Buenos Aires,25,827,2,1,"2:1
(2:1)
(5:4 p.)",Estadio Mineirão
2024,Fase Final,"13 de agosto, 21:30 (UTC-3)",Bragantino,Bragança Paulista,852,Corinthians,São Paulo,760,92,1,2,1:2 (0:2),Estadio Santa Cruz
2024,Fase Final,"20 de agosto, 21:30 (UTC-3)",Corinthians,São Paulo,760,Bragantino,Bragança Paulista,852,-92,1,2,"1:2
(1:0)
(5:4 p.)",Neo Química Arena
2024,Fase Final,"17 de septiembre, 21:30 (UTC-3)",Fortaleza,Fortaleza,21,Corinthians,São Paulo,760,-739,0,2,0:2 (0:1),Arena Castelão
2024,Fase Final,"24 de septiembre, 21:30 (UTC-3)",Corinthians,São Paulo,760,Fortaleza,Fortaleza,21,739,3,0,3:0 (0:0),Neo Química Arena
2024,Fase Final,"19 de septiembre, 20:30 (UTC-4)",Libertad,Asunción,77,Cruzeiro,Belo Horizonte,852,-775,0,2,0:2 (0:2),Estadio Defensores del Chaco
2024,Fase Final,"26 de septiembre, 21:30 (UTC-3)",Cruzeiro,Belo Horizonte,852,Libertad,Asunción,77,775,1,1,1:1 (1:0),Estadio Mineirão
